Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,MFE USD,MFE %,MAE USD,MAE %,Cumulative P&L USD,Cumulative P&L %
42,Entry short,2025-12-14 05:52,short,90272,0.08,7221.76,80.32,1.11,97.28,1.35,-13.15,-0.18,2395.2,2.40
43,Exit short,2025-12-14 17:34,close short,89068,0.08,7226.24,84.8,1.17,101.76,1.41,-8.67,-0.12,2488,2.49
43,Entry short,2025-12-14 07:22,short,90328,0.08,7226.24,84.8,1.17,101.76,1.41,-8.67,-0.12,2488,2.49
44,Exit short,2025-12-14 17:34,close short,89068,0.08,7221.76,80.32,1.11,97.28,1.35,-8,-0.11,2576.32,2.58
44,Entry short,2025-12-14 07:40,short,90272,0.08,7221.76,80.32,1.11,97.28,1.35,-8,-0.11,2576.32,2.58
45,Exit short,2025-12-14 17:34,close short,89068,0.08,7219.52,78.08,1.08,95.04,1.31,-10.24,-0.14,2662.4,2.66
45,Entry short,2025-12-14 07:42,short,90244,0.08,7219.52,78.08,1.08,95.04,1.31,-10.24,-0.14,2662.4,2.66
46,Exit long,2025-12-15 12:50,close long,89908,0.08,7080.64,96,1.35,108.48,1.53,-8,-0.11,2734.4,2.73
46,Entry long,2025-12-15 04:00,long,88508,0.08,7080.64,96,1.35,108.48,1.53,-8,-0.11,2734.4,2.73
47,Exit long,2025-12-15 12:50,close long,89908,0.08,7082.88,93.76,1.32,106.24,1.50,-8.52,-0.12,2836.16,2.84
47,Entry long,2025-12-15 04:04,long,88536,0.08,7082.88,93.76,1.32,106.24,1.50,-8.52,-0.12,2836.16,2.84
48,Exit long,2025-12-15 12:50,close long,89908,0.08,7085.12,91.52,1.29,104,1.47,-10.76,-0.15,2935.68,2.94
48,Entry long,2025-12-15 04:04,long,88564,0.08,7085.12,91.52,1.29,104,1.47,-10.76,-0.15,2935.68,2.94
49,Exit long,2025-12-15 12:50,close long,89908,0.08,7087.36,89.28,1.26,101.76,1.43,-8,-0.11,3032.96,3.03
49,Entry long,2025-12-15 04:18,long,88592,0.08,7087.36,89.28,1.26,101.76,1.43,-8,-0.11,3032.96,3.03
50,Exit long,2025-12-16 16:36,close long,86968,0.08,6863.36,78.08,1.14,128.64,1.87,-8,-0.12,3087.04,3.09
50,Entry long,2025-12-16 08:00,long,85792,0.08,6863.36,78.08,1.14,128.64,1.87,-8,-0.12,3087.04,3.09
51,Exit long,2025-12-16 16:36,close long,86968,0.08,6865.6,75.84,1.10,126.4,1.84,-8,-0.12,3170.88,3.17
51,Entry long,2025-12-16 08:02,long,85820,0.08,6865.6,75.84,1.10,126.4,1.84,-8,-0.12,3170.88,3.17
52,Exit long,2025-12-16 16:36,close long,86968,0.08,6867.84,73.6,1.07,124.16,1.81,-9.21,-0.13,3252.48,3.25
52,Entry long,2025-12-16 08:04,long,85848,0.08,6867.84,73.6,1.07,124.16,1.81,-9.21,-0.13,3252.48,3.25
53,Exit long,2025-12-16 16:36,close long,86968,0.08,6870.08,71.36,1.04,121.92,1.77,-11.45,-0.17,3331.84,3.33
53,Entry long,2025-12-16 08:06,long,85876,0.08,6870.08,71.36,1.04,121.92,1.77,-11.45,-0.17,3331.84,3.33
54,Exit short,2025-12-17 11:08,close short,86828,0.08,7020.16,57.92,0.82,115.2,1.64,-14.72,-0.21,3365.76,3.37
54,Entry short,2025-12-17 02:02,short,87752,0.08,7020.16,57.92,0.82,115.2,1.64,-14.72,-0.21,3365.76,3.37
55,Exit short,2025-12-17 11:08,close short,86828,0.08,7017.92,55.68,0.79,112.96,1.61,-16.96,-0.24,3429.44,3.43
55,Entry short,2025-12-17 02:02,short,87724,0.08,7017.92,55.68,0.79,112.96,1.61,-16.96,-0.24,3429.44,3.43
56,Exit short,2025-12-17 11:08,close short,86828,0.08,7015.68,53.44,0.76,110.72,1.58,-19.2,-0.27,3490.88,3.49
56,Entry short,2025-12-17 02:10,short,87696,0.08,7015.68,53.44,0.76,110.72,1.58,-19.2,-0.27,3490.88,3.49
57,Exit short,2025-12-17 11:08,close short,86828,0.08,7020.16,57.92,0.82,115.2,1.64,-14.72,-0.21,3556.8,3.56
57,Entry short,2025-12-17 02:18,short,87752,0.08,7020.16,57.92,0.82,115.2,1.64,-14.72,-0.21,3556.8,3.56
58,Exit long,2025-12-18 11:22,close long,86856,0.08,6876.8,55.68,0.81,63.68,0.92,-28.16,-0.41,3588.48,3.59
58,Entry long,2025-12-18 00:04,long,85960,0.08,6876.8,55.68,0.81,63.68,0.92,-28.16,-0.41,3588.48,3.59
59,Exit long,2025-12-18 11:22,close long,86856,0.08,6872.32,60.16,0.87,68.16,0.99,-23.68,-0.34,3656.64,3.66
59,Entry long,2025-12-18 00:08,long,85904,0.08,6872.32,60.16,0.87,68.16,0.99,-23.68,-0.34,3656.64,3.66
60,Exit long,2025-12-18 11:22,close long,86856,0.08,6876.8,55.68,0.81,63.68,0.92,-28.16,-0.41,3720.32,3.72
60,Entry long,2025-12-18 00:12,long,85960,0.08,6876.8,55.68,0.81,63.68,0.92,-28.16,-0.41,3720.32,3.72
61,Exit long,2025-12-18 11:22,close long,86856,0.08,6879.04,53.44,0.78,61.44,0.89,-30.4,-0.44,3781.76,3.78
61,Entry long,2025-12-18 00:12,long,85988,0.08,6879.04,53.44,0.78,61.44,0.89,-30.4,-0.44,3781.76,3.78
62,Exit long,2025-12-19 14:28,close long,88200,0.08,6892.48,147.52,2.14,164.48,2.38,-14.72,-0.21,3905.28,3.91
62,Entry long,2025-12-19 06:06,long,86156,0.08,6892.48,147.52,2.14,164.48,2.38,-14.72,-0.21,3905.28,3.91
63,Exit long,2025-12-19 14:28,close long,88200,0.08,6894.72,145.28,2.10,162.24,2.35,-16.96,-0.25,4058.56,4.06
63,Entry long,2025-12-19 06:06,long,86184,0.08,6894.72,145.28,2.10,162.24,2.35,-16.96,-0.25,4058.56,4.06
64,Exit long,2025-12-19 14:28,close long,88200,0.08,6896.96,143.04,2.07,160,2.32,-19.2,-0.28,4209.6,4.21
64,Entry long,2025-12-19 06:06,long,86212,0.08,6896.96,143.04,2.07,160,2.32,-19.2,-0.28,4209.6,4.21
65,Exit long,2025-12-19 14:28,close long,88200,0.08,6899.2,140.8,2.04,157.76,2.28,-21.44,-0.31,4358.4,4.36
65,Entry long,2025-12-19 06:06,long,86240,0.08,6899.2,140.8,2.04,157.76,2.28,-21.44,-0.31,4358.4,4.36
66,Exit long,2025-12-20 15:54,close long,88200,0.08,7035.84,4.16,0.06,32.32,0.46,-8,-0.11,4338.56,4.34
66,Entry long,2025-12-20 01:02,long,87948,0.08,7035.84,4.16,0.06,32.32,0.46,-8,-0.11,4338.56,4.34
67,Exit long,2025-12-20 15:54,close long,88200,0.08,7038.08,1.92,0.03,30.08,0.43,-10.24,-0.15,4348.48,4.35
67,Entry long,2025-12-20 01:04,long,87976,0.08,7038.08,1.92,0.03,30.08,0.43,-10.24,-0.15,4348.48,4.35
68,Exit long,2025-12-20 15:54,close long,88200,0.08,7040.32,-0.32,0.00,27.84,0.39,-12.48,-0.18,4356.16,4.36
68,Entry long,2025-12-20 01:04,long,88004,0.08,7040.32,-0.32,0.00,27.84,0.39,-12.48,-0.18,4356.16,4.36
69,Exit long,2025-12-20 15:54,close long,88200,0.08,7042.56,-2.56,-0.04,25.6,0.36,-14.72,-0.21,4361.6,4.36
69,Entry long,2025-12-20 01:04,long,88032,0.08,7042.56,-2.56,-0.04,25.6,0.36,-14.72,-0.21,4361.6,4.36
70,Exit long,2025-12-21 16:00,close long,88620,0.08,7060.48,13.12,0.19,50.24,0.71,-39.36,-0.56,4350.72,4.35
70,Entry long,2025-12-21 00:00,long,88256,0.08,7060.48,13.12,0.19,50.24,0.71,-39.36,-0.56,4350.72,4.35
71,Exit long,2025-12-21 16:00,close long,88620,0.08,7062.72,10.88,0.15,48,0.68,-41.6,-0.59,4369.6,4.37
71,Entry long,2025-12-21 00:08,long,88284,0.08,7062.72,10.88,0.15,48,0.68,-41.6,-0.59,4369.6,4.37
72,Exit long,2025-12-21 16:00,close long,88620,0.08,7064.96,8.64,0.12,45.76,0.65,-43.84,-0.62,4386.24,4.39
72,Entry long,2025-12-21 00:18,long,88312,0.08,7064.96,8.64,0.12,45.76,0.65,-43.84,-0.62,4386.24,4.39
73,Exit long,2025-12-21 16:00,close long,88620,0.08,7067.2,6.4,0.09,43.52,0.62,-46.08,-0.65,4400.64,4.40
73,Entry long,2025-12-21 00:18,long,88340,0.08,7067.2,6.4,0.09,43.52,0.62,-46.08,-0.65,4400.64,4.40
74,Exit long,2025-12-22 11:00,close long,89152,0.08,7064.96,51.2,0.72,83.84,1.19,-37.12,-0.52,4427.84,4.43
74,Entry long,2025-12-22 00:18,long,88312,0.08,7064.96,51.2,0.72,83.84,1.19,-37.12,-0.52,4427.84,4.43
75,Exit long,2025-12-22 11:00,close long,89152,0.08,7060.48,55.68,0.79,88.32,1.25,-32.64,-0.46,4491.52,4.49
75,Entry long,2025-12-22 00:38,long,88256,0.08,7060.48,55.68,0.79,88.32,1.25,-32.64,-0.46,4491.52,4.49
76,Exit long,2025-12-22 11:00,close long,89152,0.08,7058.24,57.92,0.82,90.56,1.28,-30.4,-0.43,4557.44,4.56
76,Entry long,2025-12-22 00:42,long,88228,0.08,7058.24,57.92,0.82,90.56,1.28,-30.4,-0.43,4557.44,4.56
77,Exit long,2025-12-22 11:00,close long,89152,0.08,7056,60.16,0.85,92.8,1.31,-28.16,-0.40,4625.6,4.63
77,Entry long,2025-12-22 00:46,long,88200,0.08,7056,60.16,0.85,92.8,1.31,-28.16,-0.40,4625.6,4.63
78,Exit short,2025-12-24 08:42,close short,86912,0.08,7026.88,57.92,0.82,68.16,0.97,-39.36,-0.56,4659.52,4.66
78,Entry short,2025-12-23 22:08,short,87836,0.08,7026.88,57.92,0.82,68.16,0.97,-39.36,-0.56,4659.52,4.66
79,Exit short,2025-12-24 08:42,close short,86912,0.08,7024.64,55.68,0.79,65.92,0.94,-41.6,-0.59,4723.2,4.72
79,Entry short,2025-12-23 22:08,short,87808,0.08,7024.64,55.68,0.79,65.92,0.94,-41.6,-0.59,4723.2,4.72
80,Exit short,2025-12-24 08:42,close short,86912,0.08,7029.12,60.16,0.85,70.4,1.00,-37.12,-0.53,4791.36,4.79
80,Entry short,2025-12-23 22:16,short,87864,0.08,7029.12,60.16,0.85,70.4,1.00,-37.12,-0.53,4791.36,4.79
81,Exit short,2025-12-24 08:42,close short,86912,0.08,7031.36,62.4,0.89,72.64,1.03,-34.88,-0.50,4861.76,4.86
81,Entry short,2025-12-23 22:18,short,87892,0.08,7031.36,62.4,0.89,72.64,1.03,-34.88,-0.50,4861.76,4.86
82,Exit long,2025-12-25 09:56,close long,87780,0.08,7004.48,1.92,0.03,23.36,0.33,-14.03,-0.20,4839.68,4.84
82,Entry long,2025-12-25 00:02,long,87556,0.08,7004.48,1.92,0.03,23.36,0.33,-14.03,-0.20,4839.68,4.84
83,Exit long,2025-12-25 09:56,close long,87780,0.08,7006.72,-0.32,0.00,21.12,0.30,-16.27,-0.23,4847.36,4.85
83,Entry long,2025-12-25 00:04,long,87584,0.08,7006.72,-0.32,0.00,21.12,0.30,-16.27,-0.23,4847.36,4.85
84,Exit long,2025-12-25 09:56,close long,87780,0.08,7008.96,-2.56,-0.04,18.88,0.27,-18.51,-0.26,4852.8,4.85
84,Entry long,2025-12-25 00:26,long,87612,0.08,7008.96,-2.56,-0.04,18.88,0.27,-18.51,-0.26,4852.8,4.85
